Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0805_2012Metric,90.744,-114.808,180.0,top
C10,0.1uF,C_0805_2012Metric,69.088,-122.682,-90.0,top
C11,0.1uF,C_0805_2012Metric,94.935,-112.395,180.0,top
C12,0.1uF,C_0805_2012Metric,91.44,-103.505,180.0,top
C13,0.1uF,C_0805_2012Metric,112.395,-91.12,-90.0,top
C14,0.1uF,C_0805_2012Metric,125.095,-91.44,-90.0,top
C15,10uF,C_0805_2012Metric,76.2,-115.25,-90.0,top
C2,4.7uF,C_0805_2012Metric,69.088,-118.75,90.0,top
C3,10uF,C_0805_2012Metric,75.6925,-95.504,180.0,top
C4,0.1uF,C_0805_2012Metric,80.452,-95.504,0.0,top
C5,0.1uF,C_0805_2012Metric,91.506,-110.236,180.0,top
C6,0.1uF,C_0805_2012Metric,101.6,-91.1485,-90.0,top
C7,0.1uF,C_0805_2012Metric,91.44,-91.44,-90.0,top
C8,0.1uF,C_0805_2012Metric,80.772,-91.44,-90.0,top
C9,0.1uF,C_0805_2012Metric,69.088,-92.456,180.0,top
D1,CHG_LED,LED_0805_2012Metric,79.3265,-117.348,0.0,top
D2,5V_LED,LED_0805_2012Metric,87.63,-120.7285,90.0,top
D3,3V3_LED,LED_0805_2012Metric,81.788,-101.6785,90.0,top
F1,Polyfuse,Fuse_0805_2012Metric,90.7565,-117.602,180.0,top
J1,S2B-PH-K-S_LF__SN_,JST_S2B-PH-K-S_LF__SN_,73.914,-120.7235,0.0,top
J2,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,96.52,-123.32,0.0,top
J3,Conn_01x02,CONN-TH_DG350-3.5-02P-14-00A-H,117.56,-88.9,180.0,top
J4,Conn_01x02,CONN-TH_DG350-3.5-02P-14-00A-H,106.9625,-88.9,180.0,top
J5,Conn_01x02,CONN-TH_DG350-3.5-02P-14-00A-H,96.365,-88.9,180.0,top
J6,Conn_01x02,CONN-TH_DG350-3.5-02P-14-00A-H,85.7675,-88.9,180.0,top
J7,Conn_01x02,CONN-TH_DG350-3.5-02P-14-00A-H,75.17,-88.9,180.0,top
J8,GPIOs,PinHeader_2x02_P2.54mm_Vertical,108.712,-122.682,-90.0,top
R1,5.1k,R_0805_2012Metric,99.314,-117.4515,90.0,top
R10,22k,R_0805_2012Metric,80.772,-87.884,90.0,top
R11,22k,R_0805_2012Metric,69.088,-89.916,180.0,top
R12,10k,R_0805_2012Metric,122.555,-91.44,90.0,top
R13,4.7k,R_0805_2012Metric,102.87,-110.2125,90.0,top
R14,22k,R_0805_2012Metric,112.395,-87.6015,90.0,top
R15,1k,R_0805_2012Metric,85.344,-120.7535,90.0,top
R16,1k,R_0805_2012Metric,84.582,-101.7035,90.0,top
R17,10k,R_0805_2012Metric,114.2765,-119.38,180.0,top
R18,46.4k,R_0805_2012Metric,78.232,-105.0525,90.0,top
R19,10k,R_0805_2012Metric,72.644,-108.3075,90.0,top
R2,5.1k,R_0805_2012Metric,94.742,-117.4515,90.0,top
R20,1k,R_0805_2012Metric,79.756,-114.1965,-90.0,top
R3,1.5k,R_0805_2012Metric,82.158765,-109.590765,-45.0,top
R4,1.8k,R_0805_2012Metric,75.184,-105.0525,90.0,top
R5,10k,R_0805_2012Metric,73.152,-99.06,-90.0,top
R6,4.7k,R_0805_2012Metric,102.616,-117.856,135.0,top
R7,4.7k,R_0805_2012Metric,102.859765,-103.505,135.0,top
R8,22k,R_0805_2012Metric,101.6,-87.63,90.0,top
R9,22k,R_0805_2012Metric,91.44,-87.884,90.0,top
SW1,SW_SPST,SW_SPDT_Shouhan_MSK12C02,69.155,-105.156,-90.0,top
SW2,BOOT_BTN,SW_SPST_B3U-1000P,117.983,-122.809,180.0,top
SW3,RST_BTN,SW_SPST_B3U-1000P,123.444,-122.809,180.0,top
TP1,INT_TP,TestPoint_Loop_D2.60mm_Drill0.9mm_Beaded,87.249,-106.426,0.0,top
TP2,SCL_TP,TestPoint_Loop_D2.60mm_Drill0.9mm_Beaded,100.203,-99.695,0.0,top
TP3,SDA_TP,TestPoint_Loop_D2.60mm_Drill0.9mm_Beaded,95.123,-99.695,0.0,top
TP4,GND_TP,TestPoint_Loop_D2.60mm_Drill0.9mm_Beaded,80.391,-123.571,0.0,top
TP5,5V_TP,TestPoint_Loop_D2.60mm_Drill0.9mm_Beaded,83.312,-116.84,0.0,top
TP6,3V3_TP,TestPoint_Loop_D2.60mm_Drill0.9mm_Beaded,86.36,-97.536,0.0,top
U1,BQ24075RGT,VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm,76.816,-110.852,270.0,top
U2,TLV75533PDBV,SOT-23-5,77.0945,-98.872,270.0,top
U3,MPU-6050,InvenSense_QFN-24_4x4mm_P0.5mm,96.475,-107.27,270.0,top
X1,ESP32-S3-WROOM-1-N16R8,ESP32S3WROOM1N8R2,116.118,-106.68,-90.0,top
